"Yazar", "Alıntı"
"Og Mandino", "Her zaman elinizden gelenin en iyisini yapın. Şimdi ektiğinizi daha sonra biçeceksiniz."
"Forrest Gump", "Annem hep derdi ki: Hayat bir kutu çikolata gibidir, ne alacağını asla bilemezsin."
"Jean Lacordaire", "Bizler bir dalın yaprakları, bir denizin damlaları, bir bahçenin çiçekleriyiz."
"Eğer yol ayrımına gelirsen, o yoldan git."
"Moliere", "Sadece yaptıklarımızdan değil, yapmadıklarımızdan da sorumlu tutuluyoruz."
"", "Kimse her şeyi yapamaz, ama herkes bir şeyler yapabilir."
"Napoleon Hill", "Dünyanın, eylemleri nereye gittiğini bildiğini gösteren adama yer açma alışkanlığı vardır."
"Herakleitos", "Aynı nehre iki kez adım atamazsınız, çünkü sürekli başka sular akar."
"Booker Washington", "Mükemmellik, sıradan bir şeyi sıra dışı bir şekilde yapmaktır."
"Buddha", "Geçmiş ne kadar zor olursa olsun, her zaman yeniden başlayabilirsiniz."
"Pablo Picasso", "Bir fikirle başlarım ve sonra o başka bir şeye dönüşür."
"Mark Twain", "Kim mutlu olursa, başkalarını da mutlu eder."
"Buddha", "İşiniz, işinizi keşfetmek ve sonra tüm kalbinizle kendinizi ona vermektir."
"Epictetus", "Önemli olan başınıza ne geldiği değil, ona nasıl tepki verdiğinizdir."
"Woody Guthrie", "Sakin ol, ama al."
"Benjamin Disraeli", "Duygularını gösterdiğin için asla özür dileme. Bunu yaptığınızda, gerçek için özür dilemiş olursunuz."
"Ovid", "Dinlenin; dinlenmiş bir tarla bol ürün verir."
"Anais Nin", "Yaş sizi aşktan korumaz. Ama aşk, bir dereceye kadar, sizi yaşlılıktan korur."
"Forrest Church", "Elinden geleni yap. Sahip olduğun şeyi iste. Olduğun gibi ol."
"Coco Chanel", "Parası olan ve zengin olan insanlar vardır."
"Sahip olduğumuz tek şey bugünken, neden yarın için endişelenelim ki?"
"Ambrose Bierce", "Kızgınken konuşursan, pişman olacağın en iyi konuşmayı yapmış olursun."
"Henry Thoreau", "Olaylar değişmez, biz değişiriz."
"Mark Twain", "Olağanüstü bir yeteneğin kullanılması hayattaki en büyük zevktir."
"Etty Hillesum", "Bazen bütün bir gün içindeki en önemli şey, iki derin nefes arasında aldığımız dinlenmedir."
"Mohandas Gandhi", "Affetmek sevmeyi seçmektir. Kendini veren sevginin ilk becerisidir."
"William Londen", "Sağlıklı olmak için: hafif yiyin, derin nefes alın, ölçülü yaşayın, neşeli olun ve hayata karşı ilginizi koruyun."
"", "Çoğu gülümseme başka bir gülümseme tarafından başlatılır."
"Lao Tzu", "Hiçbir şey sudan daha yumuşak ya da esnek değildir, yine de hiçbir şey ona karşı koyamaz."
"Dalai Lama", "İnsanlar başkalarının duygularına ve mutluluğuna kayıtsız kaldığı sürece gerçek bir işbirliği ruhuna ulaşmak zordur."
"Benjamin Franklin", "Tecrübe değerli bir okuldur, ama aptallar başka hiçbir okulda öğrenemezler."
"Thornton Wilder", "Sadece kalplerimizin hazinelerimizin bilincinde olduğu anlarda hayatta olduğumuz söylenebilir."
"Konfüçyüs", "Güzel sözler ve imalı bir görünüm nadiren gerçek erdemle ilişkilendirilir"
"Oliver Holmes", "Yaşlandığımız için oyunu bırakmayız, oyunu bıraktığımız için yaşlanırız."
"Wayne Dyer", "Yuvarlak bir dünyada taraf seçemezsiniz."
"Mark Twain", "Nezaket, sağırların duyabildiği ve körlerin görebildiği bir dildir."
"Byron Pulsifer", "Her şeyi bilmiyor olabilirim, ama zaten her şey henüz bilinmiyor."
"Buddha", "Tek bir çiçeğin mucizesini net bir şekilde görebilseydik, tüm hayatımız değişirdi."
"Carl Jung", "Bu fanteziyle oynama olmadan hiçbir yaratıcı eser henüz doğmamıştır. Hayal gücünün oyununa olan borcumuz hesaplanamaz."
"Buddha", "Yolun kendisi olana kadar yolda seyahat edemezsiniz."
"Theodore Roosevelt", "Gözlerinizi yıldızlarda, ayaklarınızı yerde tutun."
"William White", "Yarından korkmuyorum, çünkü dünü gördüm ve bugünü seviyorum."
"Jamie Paolinetti", "Sınırlamalar sadece zihnimizde yaşar. Ancak hayal gücümüzü kullanırsak, olasılıklarımız sınırsız hale gelir."
"", "Kaybettiğinizde, dersinizi kaybetmeyin."
"Napoleon Bonaparte", "Bir şeyin iyi yapılmasını istiyorsan, onu kendin yap."
"Eriksson", "Başarının önündeki en büyük engel başarısızlık korkusudur."
"John Ruskin", "Gün ışığı lezzetlidir, yağmur ferahlatıcıdır, rüzgar bizi canlandırır, kar canlandırıcıdır; gerçekten kötü hava diye bir şey yoktur, sadece iyi havanın farklı türleri vardır."
"Joe Namath", "Eğer sonuna kadar gitmiyorsan, neden gidiyorsun?"
"Konfüçyüs", "En büyük zaferimiz hiç düşmemek değil, her düştüğümüzde yükselmektir."
"Pierre Abelard", "Bilgeliğin başlangıcı şüphe etmekte bulunur; şüphe ederek soruya ulaşırız ve arayarak gerçeğe ulaşabiliriz."
"", "Beni gülümsettiğin her an için uzanıp bir yıldız tutabilseydim, tüm akşam gökyüzü avucumun içinde olurdu."
"Buddha", "Düşüncelerimiz tarafından şekillendiriliriz; ne düşünürsek o oluruz. Zihin saf olduğunda, neşe asla terk etmeyen bir gölge gibi onu takip eder."
"Tony Robbins", "Kararlarınıza bağlı kalın, ancak yaklaşımınızda esnek olun."
"Albert Schweitzer", "İyimser kişi her yerde yeşil ışık gören kişidir, kötümser ise sadece kırmızı ışığı görür... Gerçekten bilge kişi renk körüdür."
"Donald Trump", "Kazananları kaybedenlerden ayıran şey, bir insanın kaderin her yeni cilvesine nasıl tepki verdiğidir."
"Ralph Emerson", "Her insanın kendi mesleği vardır; yeteneği onun çağrısıdır. Tüm alanın ona açık olduğu tek bir yön vardır."
"Dhammapada", "Nasıl ki güzel görünen bir çiçeğin rengi vardır ama kokusu yoktur, aynı şekilde konuşan ama yapmayan bir adamın sözleri de sonuçsuzdur."
"William James", "Hayatınızı değiştirmek için hemen başlayın, gösterişli bir şekilde yapın, istisnasız."
"John F. Kennedy", "Minnettarlığımızı ifade ederken, en büyük takdirin sözleri söylemek değil, onlarla yaşamak olduğunu asla unutmamalıyız."
"Booker Washington", "Dünya bir erkeğin ya da kadının ne bildiğiyle çok az ilgilenir; önemli olan bir erkeğin ya da kadının ne yapabildiğidir."
"", "Dağ ne kadar sarpsa, tırmanış o kadar zor, bitiş çizgisinden manzara o kadar güzeldir"
"Dr. David M. Burns", "Mükemmelliği değil, başarıyı hedefleyin. Yanılma hakkınızdan asla vazgeçmeyin, çünkü o zaman yeni şeyler öğrenme ve hayatınızda ilerleme yeteneğinizi kaybedersiniz."
"Lao Tzu", "Ne olduğumu bıraktığımda, ne olabileceğime dönüşürüm."
"Byron Pulsifer", "Dönüşüm, bir başkasının sizi değiştirmesiyle başlamaz; dönüşüm, şu anda ne olduğunuzun, ne olacağınızın içsel olarak yeniden işlenmesidir."
"Byron Pulsifer", "Zaman bir günün, ayın ya da yılın uzunluğu değil, daha çok başardıklarınızın bir ölçüsüdür."
"Johann Wolfgang von Goethe", "Bir insan nereye dönerse dönsün, neye girişirse girişsin, her zaman doğanın onun için çizdiği yola geri dönecektir."
"Buddha", "Öfkeye tutunmak, başkasına atmak amacıyla sıcak bir kömürü tutmaya benzer; yanan siz olursunuz."
"Afrika atasözü", "İçinde düşman olmadığında, dışarıdaki düşmanlar sana zarar veremez."
"Lao Tzu", "Başkalarını kontrol eden kişi güçlü olabilir, ancak kendine hakim olan kişi daha da güçlüdür."
"Wayne Dyer", "Sevdiğiniz işi yaparak hayatınızı kazanmak için fırsat kıtlığı yoktur; sadece bunu gerçekleştirme azmi kıtlığı vardır."
"Wolfgang Amadeus Mozart", "Ne yüksek derecede zeka, ne hayal gücü, ne de her ikisi birlikte deha yaratmaya yetmez. Aşk, aşk, aşk, dehanın ruhu budur."
"H. Bertram Lewis", "Bu dünyadaki mutlu ve verimli insanlar, sorunları insan yaşamının normal bir ayrıntısı olarak kabul eden ve ortaya çıktığında onlardan yararlanmaya karar verenlerdir."
"Saul Alinsky", "Bir organizatör olarak dünyanın olduğu yerden başlarım, olmasını istediğim gibi değil."
"Zig Ziglar", "Dünya üzerinde yeteneğinizi kullanabilecek tek kişi sizsiniz."
"", "Yapamadıklarınızın, yapabileceklerinizi yapmanıza engel olmasına izin vermeyin."
"Byron Pulsifer", "Şikayet etmek bir şeyi değiştirmez, sadece harekete geçmek değiştirir."
"Charles A. Lindbergh", "Yaşam geçmişin doruk noktası, bugünün farkındalığı, bilginin ötesinde geleceğin bir göstergesi, maddeye tanrısal bir dokunuş veren niteliktir."
"Robert Brault", "Küçük şeylerin tadını çıkarın, çünkü bir gün geriye dönüp baktığınızda onların büyük şeyler olduğunu fark edebilirsiniz."
"Oprah Winfrey", "Her deneyimle, sadece siz kendi tuvalinizi boyuyorsunuz, düşünce düşünce, seçim seçim."
"Rumi", "Sevdiğin şeyin güzelliği yaptığın şey olsun."
"Epictetus", "Dünya, nereye gittiğini bilen bir adamın geçmesine izin vermek için yana döner."
"Kahlil Gibran", "Güzellik yüzde değildir; güzellik kalpte bir ışıktır."
"John Lubbock", "Endişeyle geçen bir gün, çalışarak geçen bir günden daha yorucudur."
"Ralph Emerson", "Doğruluk, iyilik ve güzellik aynı bütünün farklı yüzleridir."
"Ralph Emerson", "Büyük olmak yanlış anlaşılmaktır."
"Alfred Adler", "Sadece harekete güvenin. Hayat kelimeler düzeyinde değil, olaylar düzeyinde gerçekleşir. Harekete güvenin."
"Winston Churchill", "Asla, asla, asla vazgeçme."
"Andre Gide", "Hayatımızın en belirleyici eylemleri... çoğu zaman düşünülmemiş eylemlerdir."
"Robert Schuller", "Benzersiz kişiler olarak büyüdükçe, başkalarının benzersizliğine saygı duymayı öğreniriz."
"Robert Schuller", "Başarısızlık başarısız olduğunuz anlamına gelmez, sadece henüz başaramadığınız anlamına gelir."
"Mahatma Gandhi", "Tanrı'yı memnun edecek olan işimizin niteliğidir, niceliği değil."
"Stephen Kaggwa", "Deneyin ve başarısız olun, ama denemekten vazgeçmeyin."
"Epictetus", "Önce kendinize ne olmak istediğinizi söyleyin; ve sonra yapmanız gerekeni yapın."
"Carl Jung", "Gurur sayesinde kendimizi sürekli kandırırız. Ama ortalama bir vicdanın yüzeyinin altında, derinlerde bir yerde, durgun, küçük bir ses bize 'Bir şeylerin ayarı bozuk' der."
"Epictetus", "Çoğunlukla sessiz kal ve sadece mecbur kaldığında konuş, o zaman da kısaca."
"Percy Shelley", "Gelecek için korkmayın, geçmiş için ağlamayın."
"Wayne Dyer", "İstemek için yeterince İlahiyiz ve almak için yeterince önemliyiz."
"Kore atasözü", "Öfkeyle bir taşı tekmelersen, kendi ayağını incitirsin."
"Lao Tzu", "Tohumdaki şeyleri görmek, işte bu dahiliktir."
"Bertrand Russell", "Gerçekten tatmin edici olan mutluluğa, yeteneklerimizin en iyi şekilde kullanılması ve içinde yaşadığımız dünyanın en iyi şekilde farkına varılması eşlik eder."
"Douglas Adams", "Başkalarının deneyimlerinden ders çıkarma yeteneğine sahip olma konusunda neredeyse eşsiz olan insanoğlu, aynı zamanda bu konudaki belirgin isteksizliğiyle de dikkat çekicidir."
"Ralph Emerson", "Kendinizden en iyi şekilde yararlanın, çünkü sahip olduğunuz tek şey budur."
"Muriel Rukeyser", "Evren hikayelerden oluşur, atomlardan değil."
"Frank Wright", "Saygı eylemlerle kazanılmalıdır, yıllarla değil."
"Konfüçyüs", "Duyarım ve unuturum. Görürüm ve hatırlarım. Yaparım ve anlarım."
"Will Durant", "Çoğu insanın sorunu, akıllarından ziyade umutları, korkuları ya da istekleriyle düşünmeleridir."
"Chuck Norris", "Pek çok insan tam başarmak üzereyken pes eder. Bir sonraki engelin ne zaman son engel olacağını asla bilemezsiniz."
"Lauren Raffo", "Bazen en büyük cesaret küçük bir cesarettir."
"Tony Robbins", "İnsanlar tembel değildir. Sadece güçsüz hedefleri vardır, yani onlara ilham vermeyen hedefleri."
"Eckhart Tolle", "İyi olmaya çalışarak değil, zaten içinizde olan iyiliği bularak iyi olursunuz."
"Marcus Aurelius", "İyi bir insanın nasıl olması gerektiğini tartışarak daha fazla zaman kaybetmeyin. İyi bir insan olun."
"John Barrymore", "Mutluluk genellikle açık bıraktığınızı bilmediğiniz bir kapıdan içeri sızar."
"Mark Twain", "Temelde iki tür insan vardır. Bir şeyler başaran insanlar ve bir şeyler başardığını iddia eden insanlar. İlk grup daha az kalabalıktır."
"Winifred Holtby", "İnsanın en çok yapmak istediği şeyler, muhtemelen en çok yapmaya değer olan şeylerdir."
"Abraham Lincoln", "Başarmak için kendi kararlılığınızın herhangi bir şeyden daha önemli olduğunu daima aklınızda bulundurun."
"Albert Einstein", "Örnek olmak, bir başkasını etkilemenin ana yolu değil, tek yoludur."
"Richard Garriott", "Kaos ve Düzen düşman değildir, sadece zıttır."
"Henry Longfellow", "Azim, başarının en büyük unsurudur. Kapıyı yeterince uzun süre ve yeterince yüksek sesle çalarsanız, birilerini uyandıracağınızdan emin olabilirsiniz."
"Harriet Lerner", "Sadece başkalarına olan bağlılığımız sayesinde kendimizi gerçekten tanıyabilir ve geliştirebiliriz. Ve ancak benliğimiz üzerinde çalışarak başkalarına olan bağlılığımızı geliştirmeye başlayabiliriz."
"Çin atasözü", "Bir adım atmadan önce tamamen düşünen kişi, tüm hayatını tek ayak üzerinde geçirecektir."
"Rahibe Teresa", "Barış bir gülümsemeyle başlar."
"Doug Horton", "Kendi kahramanınız olun, bu bir sinema biletinden daha ucuzdur."
"Maori atasözü", "Yüzünü güneşe dön, gölgeler arkana düşecektir."
"Jack Buck", "İşler, işlerin gidişatını en iyi şekilde değerlendirenler için en iyi şekilde sonuçlanır."
"Whoopi Goldberg", "Burada olmamızın bir sebebi var. Bence bu nedenlerden biri de insanlara karanlıkta yol göstermek için küçük meşaleler yakmak."
"Anthony Robbins", "Etkili bir iletişim kurmak için, hepimizin dünyayı algılama biçimimizin farklı olduğunu fark etmeli ve bu anlayışı başkalarıyla iletişimimizde bir rehber olarak kullanmalıyız."
"Konfüçyüs", "Yetenek, ona olan talebe asla yetişemeyecektir."
"Albert Schweitzer", "Artık asla dünyada güzel bir şey yok demeyin. Her zaman bir ağacın şeklinde, bir yaprağın titreyişinde sizi hayrete düşürecek bir şeyler vardır."
"Henry Reed", "Sezgi, ruhun kendi deneyimi olan her şey aracılığıyla deneyimlediği ruhun gücü ya da faaliyetidir."
"Tony Robbins", "Hedef belirlemek, görünmeyeni görünür hale getirmenin ilk adımıdır."
"Pat Riley", "Cesaret korkunun yokluğu değil, korkuya rağmen onurlu bir şekilde yoluna devam etmektir."
"Galileo Galilei", "Tüm gerçekler keşfedildiklerinde anlaşılması kolaydır; önemli olan onları keşfetmektir."
"Oscar Wilde", "En küçük nezaket eylemi, en büyük niyetten daha değerlidir."
"Margaret Wheatley", "Bilimden biliyoruz ki, evrende hiçbir şey izole veya bağımsız bir varlık olarak mevcut değildir."
"Ralph Emerson", "Evrende her şey dolaylı olarak ilerler. Düz çizgi yoktur."
"George Eliot", "Hayatı birbirimiz için daha az zorlaştırmayacaksak ne için yaşıyoruz?"
"Tenzin Gyatso", "Başkalarına karşı sevgi ve nezaket hissettiğimizde, bu yalnızca başkalarının sevildiğini ve önemsendiğini hissetmesini sağlamakla kalmaz, aynı zamanda içsel mutluluk ve huzur geliştirmemize de yardımcı olur."
"Maya Angelou", "Birçok yenilgiyle karşılaşabiliriz ama yenilmemeliyiz."
"Richard Bach", "Her insan, hayatınızdaki tüm olaylar, siz onları oraya çektiğiniz için oradadır. Onlarla ne yapmayı seçeceğiniz size kalmış."
"Albert Einstein", "Mantık sizi A noktasından B noktasına götürür. Hayal gücü ise sizi her yere götürür."
"Sarah Breathnach", "En derin isteklerimiz gerçek benliğimizin fısıltılarıdır. Onlara saygı duymayı öğrenmeliyiz. Dinlemeyi öğrenmeliyiz."
"Henry Thoreau", "Dünya hayal gücü için bir tuvaldir."
"Lisa Alther", "Değiştiğinizde aldığınız risk budur: daha önce birlikte olduğunuz insanlar yeni sizi sevmeyebilir. Ama hoşlanan başka insanlar çıkacaktır."
"Walter Benjamin", "Mutlu olmak, korkmadan kendinin farkına varabilmektir."
"Byron Pulsifer", "Olumsuzluklara rağmen devam etme gücü, kendi yeteneklerinize ve nasıl yapacağınızı bildiğinize inandığınız anlamına gelir."
"Ralph Emerson", "Kendinizden en iyi şekilde yararlanın, çünkü sahip olduğunuz tek şey budur."
"Lama Yeshe", "Başkalarına karşı nazik olmak istiyorsanız, önce kendinize karşı nazik olun."
"Kardinal Retz", "Kendine güvenmeyen bir adam asla başkasına gerçekten güvenemez."
"Benjamin Disraeli", "Kendi talihimizi kendimiz yaratırız ve onlara kader deriz."
"Vince Lombardi", "Liderler doğmazlar, yaratılırlar. Ve tıpkı diğer her şey gibi sıkı çalışmayla elde edilirler. Bu hedefe ya da herhangi bir hedefe ulaşmak için ödenmesi gereken bedel de budur."
"E. E. Cummings", "Büyümek ve gerçekte olduğunuz kişi olmak cesaret ister."
"Og Mandino", "Her zorlukta daima bir zafer tohumu arayın."
"Catherine Pulsifer", "Değişmeyi dilemek yerine, önce değişmeye hazır olmalısınız."
"Buddha", "Ne yaparlarsa yapsınlar insanların başına gelen bir kadere inanmıyorum; ama harekete geçmedikleri sürece başlarına gelen bir kadere inanıyorum."
"Holmes", "Şöhret genellikle başka bir şey düşünenlere gelir."
